Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
0.2617114631775308,6.945916037479308e-10,2.976661536544477e-07,0.7285803627267042,2,Blue white ,B
0.5013268174772076,1.671728944613664e-09,1.4370090176421598e-06,0.7329580988117573,2,Blue,B
0.2883003599485037,7.416825599342312e-10,5.388783816158102e-07,0.7739212007504691,2,Blue white,B
0.26696618585954124,0.14127286846471926,0.3638155791895638,0.12757973733583491,5,Blue-white,B
0.3016473555608103,6.0040969137533e-10,7.236366838840875e-07,0.800187617260788,2,Blue White,B
0.23806521110848375,0.20013656369759475,0.9130096326820193,0.06316447779862414,5,Blue-white,B
0.592496256010089,0.2925407924741627,0.5822409498711721,0.11507191994996874,5,Blue-white,B
0.2901920601140275,9.41819123726008e-10,8.006193098292036e-07,0.7238899312070044,2,Blue White,B
0.8239667901526497,0.28254573702362046,0.006154299048556329,0.16948092557848657,4,Blue,B
0.6358477181366753,0.01709401700144513,0.002813253082538308,0.2539086929330832,3,Blue-white,B
0.7031081684664092,0.019766428765017673,0.00328028101327201,0.24484052532833023,3,Blue-white,B
0.6077349517879194,0.01707047152335198,0.00303393661024764,0.24828017510944342,3,Blue-white,B
0.37967998738866554,0.001504555955970385,0.0029107644087354545,0.2689180737961226,3,Blue-white,B
0.4009616142508079,1.0595465141917587e-09,3.3872355415850906e-06,0.7620387742338962,2,Blue White,B
0.31951341267964584,6.945916037479308e-10,2.566087531503859e-07,0.7532833020637899,2,Blue White,B
0.26460156065263657,8.240917332602569e-10,4.105740050406172e-07,0.7520325203252034,2,Blue White,B
0.2375397388402827,7.770007770739564e-10,1.5396525189023136e-07,0.7226391494684178,2,Blue White,B
0.470849425921547,1.20081938275066e-09,2.4121222796136256e-06,0.7273295809881176,2,Blue ,B
0.632169412259268,0.37201855377759113,0.8616878820519421,0.08818011257035649,5,Blue,B
0.47768056540816056,0.005556732735801534,0.0034753036656663032,0.26641651031894936,3,Blue-white,B
0.8357899161871732,0.25900025893047024,0.013339344136767127,0.18198874296435275,4,Blue,B
0.7257034759990542,0.22132749398142992,0.0030852583608777166,0.24734208880550346,3,Blue-white,B
0.6058957988492157,6.583315674844795e-08,0.0,0.7035647279549719,2,Blue White,B
0.2995454664880061,1.1890466437040849e-09,1.642296020162468e-06,0.7761100687929957,2,Blue,B
0.4309135335382675,1.4833651198684624e-09,2.0528700252030853e-06,0.7235772357723578,2,Blue,B
0.4724258427261501,1.7423653788931144e-09,2.976661536544474e-06,0.7273295809881176,2,Blue,B
0.34268673970731195,1.2950012951232607e-09,1.4883307682722366e-06,0.7551594746716698,2,Blue,B
0.7372638658994771,0.033952579316140666,0.0032289592626419325,0.24140087554721704,3,Blue-white,B
0.3504111820498673,0.0013373830615090187,0.003690855018312627,0.3111319574734209,3,Blue-white,B
0.2039095136754158,8.711817476274335e-05,0.0014788875661563027,0.37773608505315825,3,Whitish,B
0.5801476577073645,1.7776835960328398e-09,2.2068352770933165e-06,0.702626641651032,2,Blue,B
0.555765744462836,1.459819641775312e-09,1.0264350126015427e-06,0.6910569105691058,2,Blue,B
0.4198786159060456,1.2125921217972351e-09,1.1290785138616972e-06,0.7373358348968105,2,Blue,B
0.39018943275268647,1.5540015541479128e-09,1.898904773312854e-06,0.7751719824890557,2,Blue,B
0.3825700848637713,1.5210378848175026e-08,2.8740180352843195e-06,0.7445278298936837,2,Blue White,B
0.5362707233125772,0.014657060018804085,0.003259752313019979,0.2579737335834897,3,Blue-white,B
0.5273902419799795,0.007944244214446963,0.003403453214784195,0.292995622263915,3,Blue-white,B
0.45876356375292293,0.012855830944678095,0.0030903905359407247,0.2764227642276423,3,Blue-white,B
0.39938519744620476,0.0010395327636306688,0.0028969075360653334,0.29018136335209505,3,Blue-white,B
0.5834318593836211,0.4508876644723117,0.7667426433862995,0.09631019387116949,5,Blue-white,B
0.36102572186752846,1.342092251309561e-09,1.5396525189023143e-06,0.7454659161976236,2,Blue,B
0.6778592259793489,1.0,0.6425440068615128,0.13539712320200126,5,Blue-white,B
0.5245526917316938,0.8811777448029176,0.5799314710928187,0.13289555972482803,5,Blue-white,B
0.45771261921652084,1.3774104684492865e-09,8.108836599552186e-07,0.7360850531582239,2,Blue,B
0.13559811880927983,2.472275199780771e-10,1.847583022682777e-06,0.8133208255159475,2,White-Yellow,F
0.16581277423083995,1.0889689436169592e-05,0.0009861987601075622,0.3420888055034397,3,yellow-white,F
0.30952943958382595,1.17727390465751e-10,2.6687310327640177e-07,0.7782989368355223,2,white,F
0.08830561467118572,6.944974218355581e-07,0.00046271690368077545,0.544402751719825,3,yellow-white,F
0.15188775912351227,9.323915142975106e-06,0.0006834004313901071,0.4490306441525954,3,yellow-white,F
0.13875095241848612,1.0595465141917589e-10,1.3343655163820054e-06,0.8176985616010006,2,White,F
0.2268726517958015,7.063643427945056e-11,4.105740050406172e-07,0.7485928705440901,2,White,F
0.29034970179448777,5.8863695232875485e-12,7.390332090731108e-07,0.7551594746716698,2,Yellowish White,F
0.15136228685531122,3.531821713972529e-11,2.2581570277233944e-06,0.8252032520325204,2,Yellowish White,F
0.25882136570242503,8.240917332602566e-11,1.3343655163820054e-06,0.7664165103189493,2,Yellowish White,F
0.3361183363547989,3.531821713972529e-11,2.6687310327640177e-07,0.7757973733583491,2,white,F
0.13901368855258664,0.0,2.360800528983548e-06,0.8130081300813009,2,Pale yellow orange,F
0.10144242137621187,9.534976808602105e-07,0.0004575847286177677,0.5306441525953721,3,yellow-white,F
0.1265862694096319,1.6834075017478662e-06,0.0005704925800039375,0.4480925578486555,3,yellow-white,F
0.1166811171540422,1.5892255893752656e-06,0.0004986421291218294,0.4643527204502815,3,yellow-white,F
0.10501563279997898,1.597466506707868e-06,0.0005633075349157267,0.5121951219512195,3,yellow-white,F
0.09584614171987073,9.640931460021279e-07,0.0005037743041848372,0.5300187617260789,3,yellow-white,F
0.12902971545676678,0.2695957240723878,0.7528857707161786,0.057848655409631015,5,Red,G
0.0833661753500959,7.415883780218586e-07,0.0004452675084665492,0.519074421513446,3,Orange-Red,K
0.079898058379969,4.2019260205035835e-07,0.0005756247550669451,0.5222013758599124,3,Yellowish,K
0.056172985470691786,9.997409998351574e-08,0.00040369689045618675,0.567479674796748,3,yellowish,K
0.06796983789180526,1.8002872550022638e-07,0.0004396221158972407,0.5761726078799251,3,yellowish,K
0.05454402143926854,0.3319912410192358,0.7872713436383303,0.01657285803627265,5,Red,K
0.061690444286802766,0.7416825598400492,0.6748767097584614,0.08505315822388997,5,Orange,K
0.03426079188670818,2.6135480683396713e-09,0.0003703377525466366,0.8339587242026267,1,Red,M
0.027587294080554898,1.0148101058147733e-08,0.00017018292508933576,0.782989368355222,1,Red,M
0.03026720264838023,9.441736715353228e-09,0.00011886117445925863,0.7301438398999376,1,Red,M
0.04358792464727674,1.20081938275066e-09,0.0002830907764755055,0.8186366479049406,1,Red,M
0.03638895457292241,3.908549363462932e-09,0.00017018292508933576,0.7551594746716698,1,Red,M
0.0305036651690707,9.324009324887477e-09,0.00015478639990031262,0.7220137585991245,1,Red,M
0.04382438716796721,1.765910856986265e-10,0.00019071162534136662,0.6960600375234521,1,Red,M
0.04209032868290376,1.4362741636821618e-09,0.000127072654560071,0.8208255159474672,1,Red,M
0.03037229710202044,1.2950012951232608e-10,0.00024819198604705296,0.7126328955597249,1,Red,M
0.04211660229631381,9.65364601819158e-10,0.00031388382685355176,0.8176985616010006,1,Red,M
0.02080870182076141,4.2028678396273097e-10,3.962039148641954e-05,0.9383989993746091,0,Red,M
0.029662909539949028,2.7312754588054223e-09,8.293594901820466e-05,0.8767979987492183,0,Red,M
0.04101311053309162,0.16246379874855443,0.7287645479200424,0.11694809255784867,5,Red,M
0.04004098683691968,3.0844576302026757e-09,0.0003421107897000942,0.834771732332708,1,Red,M
0.03638895457292241,7.558098467901212e-09,0.00023741441841473678,0.7723577235772359,1,Red,M
0.04090801607945141,1.3774104684492865e-09,0.00016813005506413267,0.8398999374609132,1,Red,M
0.0316071569322929,1.459819641775312e-09,0.00012809908957267253,0.8142589118198875,1,Red,M
0.04358792464727674,3.0844576302026757e-09,0.00033954470216859036,0.800093808630394,1,Red,M
0.04161740364152282,6.263097172777952e-09,0.00015940535745701957,0.761413383364603,1,Red,M
0.03344630987099656,1.789456335079415e-09,0.00018968519032876507,0.7746716697936211,1,Red,M
0.02771866214760516,8.382190201161469e-09,0.0001393898747112895,0.7933083176985616,1,Red,M
0.03462862247444891,2.7312754588054223e-09,0.00023176902584542833,0.7082551594746717,1,Red,M
0.04001471322350963,6.145369782312201e-09,7.164516387958767e-05,0.7313946216385242,1,Red,M
0.04161740364152282,1.0324692143846361e-09,6.189403125987301e-05,0.8839899937460914,0,Red,M
0.022043561651033865,9.05323632681625e-10,5.3169333652759906e-05,0.9809255784865542,0,Red,M
0.04059273271853078,5.544960090936871e-10,4.69080800758905e-05,0.8939962476547845,0,Red,M
0.027035548198943802,4.485413576745112e-10,5.67618561968653e-05,0.9183864915572233,0,Red,M
0.02495993273954967,3.2021850206684264e-10,4.562503631013857e-05,0.9021263289555974,0,Red,M
0.03977825070281916,6.369051824197128e-10,3.536068618412314e-05,0.9068167604752971,0,Red,M
0.03360395155145687,4.3794589253259363e-10,4.634354081895964e-05,0.9149468417761101,0,Red,M
0.038884947846877384,1.942501942684891e-10,6.0354378740970706e-05,0.9218261413383364,0,Red,M
0.025616773074800977,6.48677921466288e-10,5.522220367796299e-05,0.9477798624140089,0,Red,M
0.02343606316176664,1.7776835960328395e-10,4.264837477359409e-05,0.8796122576610383,0,Red,M
0.024092903497017946,9.60655506200528e-10,3.5822581939793836e-05,0.9843652282676673,0,Red,M
0.044008302461837574,0.170704716081157,0.7970224762580449,0.1316447779862414,5,Red,M
0.043640471874096844,0.28254573702362046,0.610724521470865,0.12601626016260165,5,Red,M
0.04285226347179528,0.37672764939622116,0.7595575982980887,0.1357098186366479,5,Red,M
0.024224271564068207,1.2950012951232608e-10,4.182722676351286e-05,0.895247029393371,0,Red,M
0.04836972228790626,0.23545478083732005,0.6794956673151683,0.03814884302689183,5,Red,M
0.03378786684532724,8.005462551671067e-10,5.778829120946684e-05,0.9865540963101939,0,Red,M
0.043640471874096844,0.37672764939622116,0.01487899665566944,0.16635397123202003,4,Red,M
0.04298363153884554,0.1448046901786918,0.023090476756481782,0.16072545340838024,4,Red,M
0.04295735792543549,0.23545478083732005,0.045672047033715725,0.208880550343965,4,Red,M
0.04429731220934815,0.2166183983627999,0.04310595950221187,0.16197623514696685,4,Red,M
0.040750374398991096,0.3178639541633457,0.7800862985501195,0.07879924953095684,5,Red,M
0.047581513885604686,0.3331685149238933,0.6466497469119189,0.13414634146341464,5,Red,M
0.049788497412049076,0.3202185019726607,0.6071319989267595,0.08505315822388997,5,Red,M
0.047555240272194634,0.6475006474674484,0.8457781393566183,0.12101313320825514,5,Orange,M
0.04495415254459946,0.36495491034964606,0.6794956673151683,0.12914321450906818,5,Red,M
0.039699429862589,0.3096230368307431,0.6923261049726877,0.005315822388993119,5,Red,M
0.04521688867869998,0.4273504272964941,0.8586085770141375,0.0,5,Red,M
0.039699429862589,0.20484565931622478,0.6589669670631375,0.020012507817385887,5,Red,M
0.04763406111242479,0.24605024597923764,0.49011840749018365,0.021263289555972478,5,Red,M
0.026168518956412076,9.300463846794327e-10,4.352084453430541e-05,0.900562851782364,0,Red,M
0.036835606000893306,6.498551953709454e-09,2.4942370806217487e-05,0.8802376485303315,0,Red,M
0.03922650482120806,6.945916037479308e-10,9.320029914422007e-05,0.9024390243902439,0,Red,M
0.027429652400094585,1.8836382474520155e-10,4.393141853934602e-05,0.8758599124452783,0,Red,M
0.023541157615406847,3.0609121521095257e-10,4.2802340025484326e-05,0.9030644152595374,0,Red,M
0.026168518956412076,7.063643427945056e-11,5.522220367796299e-05,0.9634146341463417,0,Red,M
0.028086492735345893,0.3296366932099208,0.012826126630466355,0.18511569731081928,4,Red,M
0.033131026510075934,0.2295684113140325,0.008720386580060184,0.14696685428392747,4,Red,M
0.034970179448779594,0.17659108560444456,0.04515882952741495,0.18449030644152598,4,Red,M
0.03746617272273456,0.4002731274893714,0.011799691617864812,0.17886178861788618,4,Red,M
0.02897979559128767,4.944550399561542e-10,7.482711241865246e-05,0.8918073796122579,0,Red,M
0.01736685846404456,2.590002590246521e-10,4.803715858975219e-05,0.9574734208880551,0,Red,M
0.022621581146055017,1.4127286855890117e-10,7.780377395519694e-05,0.893370856785491,0,Red,M
0.0,6.828188647013554e-11,4.855037609605296e-05,1.0,0,Red,M
0.023672525682457108,6.710461256547805e-10,5.214289864015836e-05,0.9036898061288305,0,Red,M
0.018338982160216493,7.652280380273814e-10,6.086759624727148e-05,0.9111944965603503,0,Red,M
0.01736685846404456,3.7672764949040316e-10,4.495785355194756e-05,0.91682301438399,0,Red,M
0.018680539134547175,7.181370818410809e-10,5.214289864015836e-05,0.9183864915572233,0,Red,M
0.019994219805049788,1.17727390465751e-10,6.240724876617379e-05,0.8746091307066918,0,Red,M
0.0356270197840309,1.0595465141917587e-09,6.343368377877533e-05,0.9083802376485304,0,Red,M
0.043640471874096844,3.319912411134177e-09,0.00025742990116046693,0.7070043777360852,1,Red,M
0.03139696802501248,3.7672764949040316e-10,9.62796041820247e-05,0.785803627267042,1,Red,M
0.04437613304957831,6.380824563243702e-09,0.00019738345292327663,0.7004377736085053,1,Red,M
0.018680539134547175,6.12182430421905e-10,6.753942382918151e-05,0.7411507191994997,1,Red,M
0.036809332387483254,4.379458925325936e-09,0.00011886117445925863,0.7814258911819889,1,Red,M
0.022595307532644965,2.0249111160109168e-09,7.780377395519694e-05,0.8352095059412133,1,Red,M
0.04605764430782165,4.22641331772046e-09,0.00023690120090843602,0.7104440275171983,1,Red,M
0.03292083760279551,4.167549622487584e-09,9.663885643643524e-05,0.7958098811757349,1,Red,M
0.03946296734189853,4.581950036927028e-08,0.00017582831765864423,0.7223264540337713,1,Red,M
0.04957830850476866,0.23545478083732005,0.009746821592661728,0.15603502188868046,4,Red,M
0.03126559995796222,1.426855972444902e-08,0.0001887100770667936,0.7414008755472171,1,Red,M
0.026431255090512598,2.825457371178024e-10,4.341820103304525e-05,0.9462163852407756,0,Red,M
0.041932687002443444,0.2295684113140325,0.7934299537139395,0.01751094434021265,5,Red,M
0.021938467197393657,3.2963669330410275e-10,5.624863869056453e-05,0.9165103189493435,0,Red,M
0.044034576075247626,0.23545478083732005,0.8391063117747082,0.018449030644152594,5,Red,M
0.043771839941147105,0.1483365118926643,0.5768521660550141,0.0347091932457786,5,Red,M
0.03993589238327947,0.11772739037156907,0.6615330545946413,0.03814884302689183,5,Red,M
0.043903208008197366,0.15540015532060938,0.781112733562721,0.03314571607254536,5,Red,M
0.042405612043824384,0.170704716081157,0.6794956673151683,0.02782989368355224,5,Red,M
0.023068232574025904,1.0595465141917587e-09,4.244308777107378e-05,0.8871169480925578,0,Red,M
0.04429731220934815,0.08711826885047382,0.44957422449242274,0.05222013758599125,5,Red,M
0.03636268095951236,4.120458666301284e-10,4.2494409521703864e-05,0.9093183239524704,0,Red,M
0.032027534746853735,1.4951378589150375e-09,7.831699146149771e-05,0.8098811757348343,1,Red,M
0.017918604345655658,6.12182430421905e-10,4.5984288564549106e-05,0.7732958098811759,1,Red,M
0.03686187961430336,1.671728944613664e-09,0.0001532467473814103,0.7439024390243902,1,Red,M
0.02498620635295972,3.908549363462932e-09,0.00011886117445925863,0.7936210131332084,1,Red,M
0.03835947557867633,0.13774104675074672,0.7626369033358933,0.03126954346466542,5,Red,M
0.04232679120359423,4.614913706257438e-09,0.00014503526728059795,0.7132582864290182,1,Red,M
0.03181734583957332,1.0265828448613486e-08,0.00017531510015234345,0.7460913070669168,1,Red,M
0.03260555424187488,1.083091992284909e-09,0.00017531510015234345,0.7404627892432771,1,Red,M
0.04130212028060219,6.592733866082055e-10,5.162968113385759e-05,0.9080675422138837,0,Red,M
0.02448700769816873,7.534552989808063e-10,5.727507370316607e-05,0.9803001876172609,0,Red,M
0.036940700454533515,2.4628570085435105e-08,0.0001357973521671841,0.7573483427141964,1,Red,M
0.041827592548803236,1.0006828189588834e-09,4.57790015620288e-05,0.9962476547842403,0,Red,M
0.04382438716796721,2.5805843990092612e-08,0.00019071162534136662,0.6891807379612258,1,Red,M
0.03171225138593311,8.240917332602566e-11,4.352084453430541e-05,0.9018136335209508,0,Red,M
0.03360395155145687,5.415459961424545e-10,5.214289864015836e-05,0.9987492182614134,0,Red,M
0.03586348230472137,9.912646277216232e-09,8.806812408121236e-05,0.7854909318323953,1,Red,M
0.2089540474501458,0.6991829718819131,0.04105308947700878,0.14565353345841153,4,Blue,O
0.7593074275505111,0.9818958818941769,0.612777391496068,0.040337711069418365,5,Blue,O
0.9721499697853446,0.44127757758859243,0.695918627516793,0.06222639149468419,5,Blue,O
0.5711620819211266,0.28759624207460116,0.01795830169347407,0.17667292057535963,4,Blue,O
0.2840177609626652,0.3914671186825332,0.03900021945180569,0.15322076297686057,4,Blue,O
0.5649089619295342,0.6327023144859035,0.04156630698330955,0.18589743589743593,4,Blue,O
0.39011061191245633,0.2904687904019655,0.03181517436359489,0.1741713570981864,4,Blue,O
0.4412653372218281,0.2646276281947331,0.023603694262782554,0.1397748592870544,4,Blue,O
0.8026588896770973,0.7633797179028872,1.0,0.03377110694183866,5,Blue,O
0.9536007987178476,0.32119563931352646,0.695918627516793,0.08223889931207008,5,Blue,O
0.5201912719056252,0.8816486543647806,0.04721169955261804,0.14302689180737962,4,Blue,O
0.5558445653030661,0.40947940942379313,0.044132394514813406,0.18808630393996248,4,Blue,O
0.2362260581697801,0.9229003319839797,0.012826126630466355,0.17811131957473422,4,Blue,O
0.1955807782244292,0.40373431276906446,0.05029100459042266,0.15447154471544716,4,Blue,O
0.8018969548882058,0.2046102045352933,0.003196626559744984,0.23639774859287055,3,Blue,O
0.28780116129371275,0.2166183983627999,0.01847151919977484,0.17448405253283303,4,Blue,O
0.827145897375266,0.4144004143452615,0.034381261895098755,0.191682301438399,4,Blue,O
0.42198050497884976,0.23545478083732005,0.5363079830572531,0.11319574734208879,5,Blue,O
0.1953180420903287,0.4997763179110241,0.012312909124165584,0.18542839274546594,4,Blue,O
0.4057696855048475,0.40368722181287814,0.015392214161970211,0.1823014383989994,4,Blue,O
0.6419694700612175,0.23310023302800503,0.020011171718677154,0.1904315196998124,4,Blue,O
0.47250466356638027,0.17894563341375957,0.03746056693290338,0.19480925578486555,4,Blue,O
0.14037991644990935,0.15422288141595186,0.012312909124165584,0.14696685428392747,4,Blue,O
0.18360001050944535,0.2813684631189629,0.01795830169347407,0.14321450906816763,4,Blue,O
0.10018128793252937,0.288432106546908,0.049777787084121894,0.16541588492808007,4,Blue,O
0.28207351357032134,0.5321278048110125,0.04259274199591109,0.19699812382739212,4,Blue,O
0.2529623499119834,0.29549574997485306,0.01847151919977484,0.17745465916197625,4,Blue,O
0.6161425080791362,0.2625320806444428,0.029249086832091035,0.1876172607879925,4,Blue,O
0.942198050497885,0.23886887516082683,0.0035163610661703647,0.2301438398999375,3,Blue,O
0.8977430966080765,0.23310023302800503,0.005230507537214941,0.23514696685428393,3,Blue,O
1.0,0.9571236843923735,0.0071807340611578716,0.17792370231394622,4,Blue,O
0.5533485720291111,0.14951378579732183,0.01847151919977484,0.19262038774233897,4,Blue,O
0.9737263865899477,0.24016387645595008,0.005435794539735249,0.22576610381488432,3,Blue,O
0.3988597251780037,0.2766593675003329,0.04259274199591109,0.15728580362726707,4,Blue,O
0.24058747799584876,0.1318546772274592,0.006154299048556329,0.18792995622263917,4,Blue,O
0.3233230866241034,0.27195027188170284,0.021550824237579466,0.18136335209505944,4,Blue,O
0.5961745618874964,0.4273504272964941,0.03232839186989567,0.1904315196998124,4,Blue,O
0.5886865820656315,0.16717289436718447,0.029249086832091035,0.17761100687929957,4,Blue,O
0.8473503060875962,0.23333568780893651,0.003275148838209002,0.22983114446529082,3,Blue,O
0.9443524867975093,0.34718160621103167,0.9150625027072223,0.12883051907442153,5,Blue,O
